53 001 950100 939 1353
53 001 950200 707 1028
53 001 950300 2085 3015
53 001 950400 857 1294
53 001 950500 1257 1835
53 003 980100 1625 2193
53 003 980200 1907 2505
53 003 980300 1391 2177
53 003 980400 796 1075
53 003 980500 1339 1728
53 003 980600 1345 1815
53 005 010100 2106 2642
53 005 010201 1478 1925
53 005 010202 2668 3575
53 005 010300 1837 2402
53 005 010400 1496 1968
53 005 010500 1179 1604
53 005 010600 1628 2074
53 005 010700 5276 6766
53 005 010801 3883 4910
53 005 010803 1318 1906
53 005 010804 6243 7731
53 005 010901 2051 2944
53 005 010902 2147 2680
53 005 011001 1970 2614
53 005 011002 1975 2541
53 005 011100 2799 3617
53 005 011200 2343 3840
53 005 011300 1971 2821
53 005 011401 1325 1923
53 005 011402 2042 2688
53 005 011501 2596 3865
53 005 011502 3976 4940
53 005 011600 344 446
53 005 011700 2199 3164
53 005 011800 2199 3174
53 005 011900 2119 3072
53 005 012000 18 28
53 007 960100 893 1257
53 007 960200 2492 3442
53 007 960300 2246 3407
53 007 960400 1178 1713
53 007 960500 2771 3851
53 007 960600 1475 2071
53 007 960700 1206 1553
53 007 960800 3598 4844
53 007 960900 3354 4445
53 007 961000 2302 3918
53 007 961100 2835 4129
53 007 961200 1627 2040
53 009 980100 443 756
53 009 980200 427 1394
53 009 980300 1760 2909
53 009 980400 712 1130
53 009 980600 1173 1845
53 009 980700 1227 1774
53 009 980800 1594 2203
53 009 980900 1103 1604
53 009 981000 975 1477
53 009 981100 1090 1582
53 009 981200 1249 1890
53 009 981300 1264 1783
53 009 981400 1691 2311
53 009 981500 805 1200
53 009 981600 893 1388
53 009 981700 1201 1941
53 009 981800 902 1286
53 009 981900 1227 2183
53 009 982000 860 1351
53 009 982100 884 1295
53 009 982300 941 1685
53 011 040101 1393 2018
53 011 040102 1114 1566
53 011 040201 2009 2782
53 011 040202 1429 1921
53 011 040203 2034 2701
53 011 040300 2123 2934
53 011 040403 1699 2230
53 011 040404 2887 3727
53 011 040405 1221 1602
53 011 040406 2760 3609
53 011 040407 1605 2048
53 011 040408 1180 1507
53 011 040504 1597 2618
53 011 040505 2175 2975
53 011 040506 2332 3079
53 011 040507 848 1159
53 011 040508 1691 2179
53 011 040509 1194 1552
53 011 040603 2015 2536
53 011 040604 1947 2542
53 011 040605 1070 1507
53 011 040606 2571 3473
53 011 040702 2332 3121
53 011 040703 2742 3668
53 011 040705 4593 6058
53 011 040706 1682 2019
53 011 040803 1870 2480
53 011 040804 3116 4274
53 011 040805 2328 2846
53 011 040806 1442 1862
53 011 040904 2521 3350
53 011 040905 1194 1626
53 011 040906 3265 4019
53 011 040907 1650 2149
53 011 040908 2493 3176
53 011 041002 2614 3700
53 011 041003 1787 2318
53 011 041005 743 1157
53 011 041007 1282 1722
53 011 041008 1693 2240
53 011 041009 1444 1907
53 011 041104 1128 1585
53 011 041105 1953 2558
53 011 041107 770 1034
53 011 041108 2175 3037
53 011 041109 2500 3658
53 011 041110 2066 2819
53 011 041201 2698 3332
53 011 041203 1688 2377
53 011 041205 1962 2460
53 011 041206 2629 3301
53 011 041309 2328 2970
53 011 041310 1642 2387
53 011 041312 847 1243
53 011 041313 1090 1372
53 011 041314 2962 3785
53 011 041315 2624 3347
53 011 041316 3113 3884
53 011 041317 1562 1942
53 011 041318 2134 2678
53 011 041319 2370 3138
53 011 041320 2567 3368
53 011 041321 868 1173
53 011 041322 1851 2343
53 011 041323 2620 3360
53 011 041324 3599 4506
53 011 041325 1140 1622
53 011 041400 1946 2515
53 011 041500 1049 1431
53 011 041600 1383 2187
53 011 041700 1782 2439
53 011 041800 1552 2313
53 011 041900 956 1319
53 011 042000 756 936
53 011 042100 1267 1721
53 011 042300 1077 1657
53 011 042400 124 1048
53 011 042500 678 835
53 011 042600 1902 2882
53 011 042700 1553 2405
53 011 042800 1174 1619
53 011 042900 562 830
53 011 043000 557 857
53 011 043100 1671 2272
53 013 960200 1556 2212
53 015 000100 75 132
53 015 000200 1097 2050
53 015 000300 295 504
53 015 000400 1408 2007
53 015 000501 1267 1649
